respondent_id,question,response
148,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
148,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
149,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
149,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
149,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
150,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
150,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
155,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
155,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
158,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
159,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
159,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
159,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
161,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
161,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
161,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
161,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
162,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
167,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
167,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
170,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
170,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
172,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
172,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
173,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
173,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
173,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
173,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
174,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
174,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
177,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
178,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
178,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
178,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
