respondent_id,interest
324,Natural sciences
324,Theatre
324,dance & other performing arts
324,Practising a sport
324,Plants
324,growing & gardening
325,Outdoor recreation
325,Construction & carpentry
325,Local news
325,Natural sciences
325,New technologies & digitalisation
325,Foreign news & foreign policy
326,Outdoor recreation
326,Sustainability & environment
326,Health & wellness
326,Interior design
326,Local news
326,Natural sciences
326,Foreign news & foreign policy
326,Plants
326,growing & gardening
328,Outdoor recreation
328,Health & wellness
328,Practising a sport
329,Fitness & training
329,Health & wellness
329,Interior design
329,Arts & Crafts
329,Entertainment & celebrities
329,Shopping
329,Plants
329,growing & gardening
330,Sustainability & environment
330,Health & wellness
330,Natural sciences
331,Outdoor recreation
331,Health & wellness
331,Local news
331,Entertainment & celebrities
331,Travelling abroad
331,Plants
331,growing & gardening
332,Fitness & training
332,Health & wellness
332,Travelling abroad
335,Cars and lorries
335,Films
335,Gambling (games of chance e.g. poker
335,casino
335,trotting etc)
335,Construction & carpentry
335,Local news
335,Sports news
335,Plants
335,growing & gardening
336,Films
336,Outdoor recreation
336,Construction & carpentry
336,Local news
336,Natural sciences
336,Travelling abroad
336,Series on TV or online
336,Sports news
336,Foreign news & foreign policy
336,Practising a sport
337,Books/literature
337,Fitness & training
337,Sustainability & environment
337,Health & wellness
337,Interior design
337,Music and theatre
337,Travelling abroad
337,Foreign news & foreign policy
337,Practising a sport
337,Plants
337,growing & gardening
344,Books/literature
344,Economy & business
344,Films
344,Fitness & training
344,Arts & Crafts
344,Local news
344,Music and theatre
344,Entertainment & celebrities
344,Politics
344,Travelling abroad
344,Sports news
344,Theatre
344,dance & other performing arts
344,Foreign news & foreign policy
344,Practising a sport
345,Local news
345,Sports news
346,Cars and lorries
346,Books/literature
346,Cookery
346,Music and theatre
346,Travelling abroad
346,Series on TV or online
348,Books/literature
348,Health & wellness
348,Fashion and clothing
348,Music and theatre
348,Entertainment & celebrities
348,Travelling abroad
348,Series on TV or online
348,Shopping
349,Books/literature
349,Economy & business
349,Fitness & training
349,Sustainability & environment
349,Arts & Crafts
349,Local news
349,Fashion and clothing
349,Music and theatre
349,New technologies & digitalisation
349,Beauty news
349,Foreign news & foreign policy
350,Books/literature
350,Films
350,Outdoor recreation
350,Health & wellness
350,Local news
350,Cookery
350,Fashion and clothing
350,Music and theatre
